gene_id	gene_name	SRX25004070	SRX25004071	SRX25004072	SRX25004073	SRX25004074	SRX25004075	SRX25004076	SRX25004077	SRX25004078	SRX25004080
SNORD41	SNORD41	23	84	23	12	16	19	5	13	5	16
SNORD42A	SNORD42A	0	0	2	0	1	0	0	0	0	0
SNORD42B	SNORD42B	0	0	0	0	0	0	0	0	0	0
SNORD43	SNORD43	0	3	0	0	0	0	0	0	0	0
SNORD44	SNORD44	0	4	5	4	3	13	4	0	0	0
SNORD45A	SNORD45A	5	6	3	0	3	0	3	1	5	1
SNORD45B	SNORD45B	0	1	0	0	0	0	0	0	0	0
SNORD45C	SNORD45C	0	3	0	0	0	0	0	1	0	0
SNORD46	SNORD46	29	89	41	44	41	30	19	22	8	63
SNORD47	SNORD47	0	0	1	1	0	0	0	0	0	0
SNORD48	SNORD48	0	1	0	0	0	0	0	0	0	0
SNORD49A	SNORD49A	0	1	0	0	0	0	0	1	0	2
SNORD49B	SNORD49B	1	0	0	0	0	0	0	0	0	1
SNORD4A	SNORD4A	2	0	0	0	0	0	0	0	0	0
SNORD4B	SNORD4B	0	0	0	0	0	0	0	0	0	0
SNORD5	SNORD5	0	0	0	0	0	0	0	0	0	0
SNORD50A	SNORD50A	1	16	1	1	2	2	0	1	1	5
SNORD50B	SNORD50B	0	0	0	0	0	0	0	0	0	0
SNORD51	SNORD51	0	0	0	0	0	0	0	0	0	0
SNORD52	SNORD52	0	0	0	0	0	0	0	0	0	0
SNORD53	SNORD53	0	0	0	0	0	0	0	0	0	0
SNORD54	SNORD54	10	11	9	1	3	3	2	4	2	2
SNORD55	SNORD55	12	33	27	11	21	20	12	15	14	19
SNORD56	SNORD56	18	10	19	6	19	15	8	7	14	16
SNORD56B	SNORD56B	0	0	0	0	0	0	0	0	0	0
SNORD57	SNORD57	9	82	9	9	5	13	2	14	7	21
SNORD58A	SNORD58A	0	0	0	0	0	0	0	0	0	0
SNORD58B	SNORD58B	0	0	0	0	0	0	0	0	0	0
SNORD58C	SNORD58C	2	1	1	5	1	3	0	0	2	2
SNORD59A	SNORD59A	0	0	0	0	0	0	0	0	0	0
SNORD59B	SNORD59B	0	1	0	0	0	0	0	0	0	0
SNORD6	SNORD6	0	0	0	0	0	0	0	0	0	0
SNORD60	SNORD60	1	16	11	9	15	6	6	3	9	11
SNORD61	SNORD61	0	1	0	1	0	0	0	1	0	0
SNORD62A	SNORD62A	3	40	0	0	0	1	2	0	0	4
SNORD63	SNORD63	0	0	0	0	0	0	0	0	0	0
SNORD64	SNORD64	0	0	0	0	0	0	0	0	0	0
SNORD65	SNORD65	1	7	3	1	6	5	2	0	0	3
SNORD66	SNORD66	0	3	0	0	0	0	0	0	0	0
SNORD67	SNORD67	2	15	8	0	4	6	2	2	2	5
SNORD68	SNORD68	22	100	17	14	11	24	4	9	8	42
SNORD69	SNORD69	3	3	0	1	0	0	0	0	0	0
SNORD7	SNORD7	0	0	0	0	0	0	0	0	0	0
SNORD70	SNORD70	0	2	0	0	0	0	0	0	0	0
SNORD71	SNORD71	0	4	1	0	2	1	0	0	2	4
SNORD72	SNORD72	0	0	0	0	0	0	0	0	0	0
SNORD73A	SNORD73A	0	0	0	0	0	0	0	0	0	0
SNORD74	SNORD74	0	0	0	0	0	0	0	0	0	0
SNORD75	SNORD75	0	0	0	0	0	0	0	0	0	0
SNORD76	SNORD76	63	311	120	121	138	102	72	65	41	61
SNORD77	SNORD77	0	0	0	0	0	0	0	0	0	0
SNORD78	SNORD78	0	1	0	0	0	0	0	0	0	0
SNORD79	SNORD79	3	0	1	0	6	3	1	0	2	3
SNORD8	SNORD8	11	14	16	11	7	5	12	5	5	6
SNORD80	SNORD80	2	1	4	0	1	0	2	1	0	1
SNORD81	SNORD81	0	0	0	0	0	0	0	0	0	0
SNORD82	SNORD82	0	0	0	0	0	0	0	0	0	0
SNORD83A	SNORD83A	2	16	3	3	1	1	3	1	0	0
SNORD83B	SNORD83B	3	43	6	0	2	2	1	1	0	19
SNORD84	SNORD84	1	0	0	0	0	1	0	0	0	0
SNORD85	SNORD85	0	0	0	0	0	0	0	0	0	0
SNORD86	SNORD86	0	0	0	0	0	0	0	0	0	0
SNORD87	SNORD87	0	0	0	0	0	0	0	0	3	0
SNORD88A	SNORD88A	0	2	0	0	0	0	0	0	0	0
SNORD88B	SNORD88B	0	1	0	0	0	1	1	2	0	0
SNORD88C	SNORD88C	3	30	2	3	1	3	0	0	2	0
SNORD89	SNORD89	47.743	49	72.692	42.792	51.624	38.767	34.891	27.884	54.843	96.768
SNORD9	SNORD9	3	26	10	1	1	4	2	7	2	7
SNORD90	SNORD90	0	0	0	0	0	0	0	0	0	0
SNORD91A	SNORD91A	0	0	0	0	0	0	0	0	0	0
SNORD91B	SNORD91B	6	42	5	5	3	2	8	1	3	11
SNORD92	SNORD92	0	5	0	0	0	1	0	0	0	0
SNORD93	SNORD93	0	0	0	0	0	0	0	0	0	0
SNORD94	SNORD94	71	355	71.506	57	33	38	36	32	30	136.001
SNORD95	SNORD95	31	80	27	22	20	21	9	20	8	45
SNORD96A	SNORD96A	0	3	3	0	3	2	0	0	0	1
SNORD96B	SNORD96B	0	0	0	0	0	0	0	0	0	0
SNORD97	SNORD97	459.535	4142.269	827.874	323.829	380.752	269.004	196	522.167	233.979	737.875
SNORD98	SNORD98	0	0	0	0	0	0	0	0	0	0
SNORD99	SNORD99	10	31	5	8	1	5	3	1	6	12
SNPH	SNPH	233.049	430	292.131	165.001	227	219.608	164	240.225	256.04	633
SNRK	SNRK	2027.46	713	1763.933	2246.039	2358.005	2613.069	1696.864	2128.135	1718.095	939.356
SNRK-AS1	SNRK-AS1	192.012	73	164.067	142.011	167.332	131.324	106	113	72.079	49.017
SNRNP200	SNRNP200	26416.317	13185.062	20726.104	23121.342	25055.385	27924.227	22641.64	23301.57	19005.431	22293.549
SNRNP25	SNRNP25	831.358	565.001	854.509	782.618	765.618	1009.105	745.442	845.736	613.051	988.207
SNRNP27	SNRNP27	1958.459	715	1809.498	1914.035	2194.9	2367.555	1704.629	2317.437	1854.804	1148.238
SNRNP35	SNRNP35	547.687	618.001	573.783	473.443	609.005	628.396	603.986	588.495	540.567	664.159
SNRNP40	SNRNP40	4318.126	1514.72	3418.017	5046.37	4212.833	5164.34	3947.248	4043.412	2806.761	2618.998
SNRNP48	SNRNP48	1764.105	604	1384.432	1802.593	1913.877	1910.606	1673.938	1859.923	1507.234	620.236
SNRNP70	SNRNP70	3365.26	9609.503	3732.077	3320.773	3116.032	3591.261	3622.253	3817.078	2635.596	7188.154
SNRPA	SNRPA	5011.832	1237	3568.98	5270.061	4631.962	5780.817	4509.27	4204.348	3017.985	2817.138
SNRPA1	SNRPA1	1938.27	516	1845.337	2263.232	2038.795	2545.27	2092.077	2097.46	1752.615	1452.931
SNRPB	SNRPB	7294.215	5575.177	6006.22	8608.683	6957.3	8312.463	7074.469	7315.971	4872.937	6726.723
SNRPB2	SNRPB2	3573.846	1178.595	2906.656	3525.795	3583.539	4653.463	3634.624	3942.407	3288.845	1847.574
SNRPC	SNRPC	3725.554	1329.87	3007.378	3859.604	3688.676	4380.467	3265.356	3685.61	2846.988	2193.53
